timestamp,novelty,uncertainty,task_relevance,temporal_importance,resource_cost,raw_voi_score,voi_score,decision
2026-08-14T00:00:00Z,0.1062,0.1463,0.0655,0.0753,0.2414,0.030380000000000004,0.030380000000000004,DISCARD
2026-08-14T00:00:01Z,0.1926,0.0626,0.1854,0.0918,0.1305,0.08038000000000001,0.08038000000000001,DISCARD
2026-08-14T00:00:02Z,0.1598,0.0742,0.1258,0.0766,0.2153,0.044219999999999995,0.044219999999999995,DISCARD
2026-08-14T00:00:03Z,0.1398,0.1848,0.174,0.0633,0.2213,0.06812000000000001,0.06812000000000001,DISCARD
2026-08-14T00:00:04Z,0.0734,0.141,0.098,0.0681,0.1848,0.03914,0.03914,DISCARD
2026-08-14T00:00:05Z,0.0734,0.0514,0.1843,0.1191,0.2473,0.03617999999999999,0.03617999999999999,DISCARD
2026-08-14T00:00:06Z,0.0587,0.0652,0.1084,0.081,0.2869,0.005280000000000007,0.005280000000000007,DISCARD
2026-08-14T00:00:07Z,0.1799,0.1495,0.0516,0.1046,0.2851,0.040100000000000004,0.040100000000000004,DISCARD
2026-08-14T00:00:08Z,0.1402,0.0508,0.1858,0.1255,0.1902,0.06241999999999999,0.06241999999999999,DISCARD
2026-08-14T00:00:09Z,0.1562,0.0741,0.0637,0.1536,0.1226,0.065,0.065,DISCARD
2026-08-14T00:00:10Z,0.0531,0.1323,0.0979,0.0559,0.297,0.008439999999999996,0.008439999999999996,DISCARD
2026-08-14T00:00:11Z,0.1955,0.1538,0.1925,0.1699,0.2678,0.08878000000000003,0.08878000000000003,DISCARD
2026-08-14T00:00:12Z,0.1749,0.1478,0.1926,0.1442,0.1249,0.10691999999999999,0.10691999999999999,DISCARD
2026-08-14T00:00:13Z,0.0819,0.0836,0.136,0.0623,0.2842,0.015920000000000004,0.015920000000000004,DISCARD
2026-08-14T00:00:14Z,0.0773,0.1568,0.1448,0.181,0.274,0.05717999999999999,0.05717999999999999,DISCARD
2026-08-14T00:00:15Z,0.0775,0.0856,0.1173,0.1881,0.2038,0.05294,0.05294,DISCARD
2026-08-14T00:00:16Z,0.0956,0.0988,0.094,0.0592,0.2183,0.025859999999999994,0.025859999999999994,DISCARD
2026-08-14T00:00:17Z,0.1287,0.162,0.0993,0.0915,0.1798,0.06034000000000001,0.06034000000000001,DISCARD
2026-08-14T00:00:18Z,0.1148,0.1474,0.1509,0.1709,0.111,0.0946,0.0946,DISCARD
2026-08-14T00:00:19Z,0.0937,0.1774,0.1629,0.1622,0.167,0.08584,0.08584,DISCARD
